Time                Connection      Action                           Details                                                                                                                                                                                                                                                                                                            Severity  Alarm                                    
2016/6/29 13:19:53  10.134.154.139  Alarm upgraded from Medium       The disk activity for the most active disk is currently 98.22%. (averaged over 30 seconds)                                                                                                                                                                                                                             High  Most Active Disk (Pct Busy)                
2016/6/29 13:19:28  10.134.154.139  Alarm upgraded from Low          Page out rates are at 13,434.23. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/29 13:19:08  10.134.154.139  Alarm upgraded from Low          The disk activity for the most active disk is currently 99.77%. (averaged over 30 seconds)                                                                                                                                                                                                                             High  Most Active Disk (Pct Busy)                
2016/6/29 13:18:27  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,577.55. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/29 13:18:09  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/29 12:52:19  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/29 12:50:39  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/29 12:46:17  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/29 12:46:17  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/29 12:42:54  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/29 12:42:39  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
