Time                Connection      Action                           Details                                                                                                                                                                                                                                                                                                            Severity  Alarm                                  
2016/6/29 13:21:24  10.134.154.141  Alarm upgraded from Information  The disk activity for the most active disk is currently 98.69%. (averaged over 30 seconds)                                                                                                                                                                                                                             High  Most Active Disk (Pct Busy)              
2016/6/29 13:20:02  10.134.154.141  Alarm upgraded from Information  Page out rates are at 12,193.04. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/29 13:19:01  10.134.154.141  Alarm upgraded from Low          Page in rates are at 27,942.42. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
2016/6/29 13:18:24  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/29 12:53:29  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/29 12:43:23  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/29 12:41:23  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/29 12:28:23  10.134.154.141  Alarm upgraded from Information  The disk activity for the most active disk is currently 100.1%. (averaged over 30 seconds)                                                                                                                                                                                                                             High  Most Active Disk (Pct Busy)              
2016/6/29 12:26:34  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,817.7. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page Out (Paging Out)                    
2016/6/29 12:24:29  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/29 12:20:23  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/29 09:51:48  10.134.154.141  Alarm raised                     Page in rates are at 13,137.61. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
